Main Street	228638
North Main Street	105737
South Main Street	104286
East Main Street	99848
West Main Street	93560
Washington Street	36141
Market Street	33376
5th Avenue	31966
Parks Avenue	29139
Central Avenue	28580
State Street	26036
Madison Avenue	23340
Wilshire Boulevard	22650
Broad Street	21665
3rd Avenue	21208
Church Street	18442
Broadway Street	18088
Washington Avenue	17988
Walnut Street	17581
Grand Avenue	16850
Ventura Boulevard	16389
Elm Street	16187
Chestnut Street	14887
2nd Street	14826
High Street	14528
1st Street	14166
3rd Street	13472
4th Street	12835
South State Street	12482
Pine Street	12219
South Street	12153
River Road	12049
Center Street	12030
Front Street	11998
University Avenue	11953
1st Avenue	11901
2nd Avenue	11823
South Broadway	11417
Atlantic Avenue	11412
Oak Street	11257
East Washington Street	11159
West 3rd Street	11126
East 2nd Street	10985
Franklin Street	10981
Union Street	10910
East 4th Street	10541
4th Avenue	10423
Riverside Drive	10353
West Washington Street	10316
North Street	10270
Airport Road	10236
Court Street	10177
Lincoln Avenue	10106
West Market Street	10081
North 2nd Street	10017
West 6th Street	9912
Lexington Avenue	9759
5th Street	9699
West Broad Street	9678
Ridge Road	9672
East 3rd Street	9666
North Central Avenue	9629
West 4th Street	9624
Water Street	9607
North 3rd Street	9579
West 2nd Street	9578
North State Street	9577
Spring Street	9217
Highland Avenue	9207
North 1st Street	9202
Parks Street	9086
East Market Street	9051
South 4th Street	9043
El Camino Real	9043
Maple Avenue	9010
South Washington Street	8994
7th Avenue	8935
West State Street	8852
Pleasant Street	8781
South 3rd Street	8777
6th Street	8753
Maple Street	8743
South Western Avenue	8732
7th Street	8721
East State Street	8577
Jefferson Avenue	8331
East 1st Street	8281
South 2nd Street	8228
Euclid Avenue	8210
West 5th Street	8095
North 4th Street	8050
8th Avenue	8020
South 1st Street	8012
West Street	7978
Western Avenue	7831
Washington Boulevard	7757
East 5th Street	7718
North Washington Street	7587
Pennsylvania Avenue	7583
Jefferson Street	7572
West 7th Street	7525
Industrial Drive	7492
Memorial Drive	7458
Jackson Street	7400
East Broad Street	7390
Telegraph Road	7388
West 1st Street	7382
Mill Street	7338
North Federal Highway	7321
Franklin Avenue	7317
North Broad Street	7310
South Broad Street	7291
17th Street	7271
North 7th Street	7260
North Market Street	7259
South 6th Street	7227
Wall Street	7217
Madison Street	7192
South Dixie Highway	7172
Beach Boulevard	7137
10th Street	7125
Pacific Avenue	7115
9th Street	7113
Lincoln Street	7016
North Broadway	7015
North Broadway Street	6976
Commerce Drive	6933
Santa Monica Boulevard	6910
Main Avenue	6910
Forest Avenue	6875
East 9th Street	6833
Foothill Boulevard	6797
Locust Street	6766
6th Avenue	6765
North Avenue	6748
Bridge Street	6746
South 5th Street	6701
Monroe Street	6611
Spruce Street	6600
North 5th Street	6596
West Avenue	6577
Harrison Avenue	6548
Hospital Drive	6545
Dixie Highway	6536
Union Avenue	6512
Grant Street	6503
East Street	6491
Canal Street	6449
Richmond Avenue	6421
Commerce Street	6419
King Street	6410
Pearl Street	6334
West North Avenue	6331
West 8th Street	6310
8th Street	6245
Vine Street	6227
Boston Post Road	6177
Cedar Street	6144
Northern Boulevard	6127
South 8th Street	6110
Railroad Avenue	6095
North Central Expressway	6089
East 7th Street	6081
College Avenue	6067
Preston Road	6053
York Road	6019
Avenue Of The Americas	5992
Co Road	5962
Us Highway 1	5943
East 6th Street	5931
Delaware Avenue	5901
State Road	5896
Massachusetts Avenue	5887
Woodward Avenue	5824
South 7th Street	5749
North Michigan Avenue	5729
East Avenue	5709
Lake Street	5701
West Sunset Boulevard	5666
South Central Avenue	5631
Harrison Street	5627
North 6th Street	5566
Michigan Avenue	5557
Biscayne Boulevard	5540
North University Drive	5527
Post Road	5526
Southwest Freeway	5505
Westheimer Road	5475
Connecticut Avenue Northwestern	5386
Summer Street	5383
Fulton Street	5380
Commercial Street	5371
Montgomery Street	5367
East 8th Street	5354
Cherry Street	5344
16th Street	5337
North High Street	5300
West Broadway	5298
Grove Street	5288
California Street	5270
School Street	5239
Prospect Street	5233
Prospect Avenue	5217
12th Street	5175
9th Avenue	5122
Washington Road	5117
West Broadway Street	5086
West Central Avenue	5069
Lake Avenue	5058
Airport Boulevard	5054
East Broadway	5024
Poplar Avenue	4998
River Street	4986
Central Street	4969
West Jefferson Street	4948
West 9th Street	4942
K Street Northwestern	4913
Adams Street	4886
Hawthorne Boulevard	4882
South Broadway Street	4878
14th Street	4875
North 10th Street	4851
13th Street	4835
11th Street	4819
Magnolia Avenue	4809
Division Street	4807
Hollywood Boulevard	4759
Sunset Drive	4755
Cleveland Avenue	4728
Lafayette Street	4726
Mission Street	4721
East 10th Street	4717
West 10th Street	4713
West 47th Street	4650
North Milwaukee Avenue	4631
Corporate Drive	4631
Liberty Street	4628
Manchester Road	4615
South Avenue	4602
South Church Street	4577
Roosevelt Avenue	4540
Jefferson Davis Highway	4520
Liberty Avenue	4512
Pennsylvania Avenue Northwestern	4511
Fannin Street	4510
Lee Highway	4493
College Street	4487
Las Vegas Boulevard South	4468
West Grand Avenue	4460
Ocean Avenue	4456
Jericho Turnpike	4447
Us Highway 46	4429
East Camelback Road	4427
Us Highway 19 North	4411
Industrial Boulevard	4404
West Olympic Boulevard	4344
Kings Highway	4341
North Church Street	4339
15th Street	4320
North 8th Street	4314
Southwestern 8th Street	4295
South 9th Street	4278
Summit Avenue	4268
Katy Freeway	4260
Elmwood Avenue	4260
East High Street	4258
Hillside Avenue	4233
Montgomery Road	4222
East Broadway Street	4216
North Scottsdale Road	4209
10th Avenue	4197
Bloomfield Avenue	4196
South Orange Avenue	4179
Medical Center Drive	4152
West Walnut Street	4129
Old Country Road	4118
East 17th Street	4113
East 12th Street	4079
North Lincoln Avenue	4054
Georgia Avenue	4054
West Flagler Street	4044
Smith Street	4031
North Front Street	4027
West 38th Street	4018
East Walnut Street	4009
West Center Street	4004
Congress Street	3987
Eastern Avenue	3976
East 11th Street	3972
Hamilton Avenue	3965
Broadway Avenue	3959
1st Avenue South	3957
Lafayette Road	3950
Victory Boulevard	3944
East 14th Street	3943
South High Street	3932
North Meridian Street	3930
East Grand Avenue	3927
Plaza Drive	3926
South Eastern Avenue	3923
North Clark Street	3914
Columbus Avenue	3912
West 12th Street	3884
Crenshaw Boulevard	3879
Richmond Road	3864
East 42nd Street	3862
Valley Boulevard	3858
West 95th Street	3839
North 9th Street	3830
South Market Street	3828
Virginia Avenue	3827
James Street	3827
Green Street	3809
California Avenue	3800
Jamaica Avenue	3798
South Tamiami Trail	3782
West Lincoln Avenue	3761
South Grand Avenue	3751
Grant Avenue	3746
Beacon Street	3741
West Sahara Avenue	3734
Douglas Avenue	3734
West Pico Boulevard	3727
North Western Avenue	3726
Merrick Road	3716
Sunrise Highway	3715
